generacion,mejor,peor,promedio
1,0.6256,0.3965,0.5131699999999999
2,0.6256,0.45949999999999996,0.5438949999999999
3,0.6256,0.4646,0.559915
4,0.6256,0.5282,0.5759325000000001
5,0.6256,0.5117,0.5890899999999999
6,0.6256,0.502,0.6042400000000001
7,0.6256,0.502,0.5945749999999999
8,0.6256,0.5752999999999999,0.6005093749999998
9,0.6357999999999999,0.5934,0.6085499999999998
10,0.6357999999999999,0.6031,0.6099875
11,0.6357999999999999,0.5355,0.6101642857142856
12,0.6535,0.6083000000000001,0.6226464285714287
13,0.6535,0.6083000000000001,0.6245958333333332
14,0.6535,0.5722,0.6262416666666668
15,0.6535,0.6147,0.6350916666666667
16,0.6535,0.625,0.6451458333333332
17,0.6535,0.625,0.6355625
18,0.6535,0.625,0.644475
19,0.6535,0.625,0.6370166666666666
20,0.6535,0.625,0.6399666666666667
21,0.6535,0.625,0.6343166666666666
22,0.6535,0.5597,0.6382000000000001
23,0.6535,0.5597,0.6308125
24,0.6535,0.5597,0.6379375
25,0.6535,0.5221,0.626775
26,0.6535,0.6195,0.6476250000000001
27,0.6535,0.5597,0.6323375000000001
28,0.6535,0.6195,0.6388750000000001
29,0.6535,0.625,0.6450625000000001
30,0.6535,0.6405000000000001,0.6502500000000001
31,0.6535,0.6405000000000001,0.6470000000000001
32,0.6535,0.6405000000000001,0.6502500000000001
33,0.6535,0.6405000000000001,0.65025
34,0.6535,0.4653,0.6064499999999999
35,0.6535,0.6535,0.6535
36,0.6535,0.6535,0.6535
37,0.6535,0.6535,0.6535
38,0.6535,0.6535,0.6535
39,0.6535,0.6535,0.6535
40,0.6535,0.6535,0.6535
41,0.6535,0.6535,0.6535
42,0.6535,0.6535,0.6535
43,0.6535,0.6535,0.6535
44,0.6535,0.6535,0.6535
45,0.6535,0.6535,0.6535
46,0.6535,0.6535,0.6535
47,0.6535,0.6535,0.6535
48,0.6535,0.6535,0.6535
49,0.6535,0.6535,0.6535
50,0.6535,0.6535,0.6535
51,0.6535,0.6535,0.6535
52,0.6535,0.6535,0.6535
53,0.6535,0.6535,0.6535
54,0.6535,0.6535,0.6535
55,0.6535,0.6535,0.6535
56,0.6535,0.6535,0.6535
57,0.6535,0.6535,0.6535
58,0.6535,0.6535,0.6535
59,0.6535,0.6535,0.6535
60,0.6535,0.6535,0.6535
61,0.6535,0.6535,0.6535
62,0.6535,0.6535,0.6535
63,0.6535,0.6535,0.6535
64,0.6535,0.6535,0.6535
65,0.6535,0.6535,0.6535
66,0.6535,0.6535,0.6535
67,0.6535,0.6535,0.6535
68,0.6535,0.6535,0.6535
69,0.6535,0.6535,0.6535
70,0.6535,0.6535,0.6535
71,0.6535,0.6535,0.6535
72,0.6535,0.6535,0.6535
73,0.6535,0.6535,0.6535
74,0.6535,0.6535,0.6535
75,0.6535,0.6535,0.6535
76,0.6535,0.6535,0.6535
77,0.6535,0.6535,0.6535
78,0.6535,0.6535,0.6535
79,0.6535,0.6535,0.6535
